,Time,data,label
0,[00:12.55,Another day wasted out of time,Angry
1,[00:14.69,I can't get out of this,Angry
2,[00:16.03,Altered state of mind,Angry
3,[00:17.41,I'm going overboard,Angry
4,[00:18.75,My conscience meets decline,Angry
5,[00:20.14,Into reality,Angry
6,[00:22.26,I know this can't be fine,Angry
7,[00:24.50,Cause I'm all messed up,Angry
8,[00:26.68,Making prefect nonsense,Angry
9,[00:28.57,Drowning in my doubt too well,Angry
10,[00:32.66,Cause I'm all messed up,Angry
11,[00:34.50,Going nowhere fast but circles in my mind,Angry
12,[00:38.45,So blind,Angry
13,[00:44.59,Who are these voices in my head,Angry
14,[00:46.66,I can't go on like this,Angry
15,[00:47.94,Living like the dead,Angry
16,[00:49.33,I haven't slept so long,Angry
17,[00:50.63,Feeling sad I dread,Angry
18,[00:51.98,I'm talking to myself,Angry
19,[00:53.13,Forgot what I just said,Angry
20,[00:56.32,Cause I'm all messed up,Angry
21,[00:58.52,Making prefect nonsense,Angry
22,[01:00.49,Drowning in my doubt too well,Angry
23,[01:04.01,Cause I'm all messed up,Angry
24,[01:06.32,Going nowhere fast but circles in my mind,Angry
25,[01:10.33,So blind,Angry
26,[01:16.49,Well I hold my only enemy as closely as a friend,Angry
27,[01:21.65,And I sold my own reality to further my descent,Angry
28,[01:26.95,Self-destruction taking over it's so easy to pretend,Angry
29,[01:31.83,Introduction to this nightmare may never end,Angry
30,[02:02.40,Can anyone help me drag my heels,Angry
31,[02:04.67,I'm running overtime,Angry
32,[02:05.73,I can't hold down my meals,Angry
33,[02:07.38,My mind is racing by,Angry
34,[02:08.43,Staring blankly feels,Angry
35,[02:10.71,Like pulling out my teeth,Angry
36,[02:11.77,While this engine winds,Angry
37,[02:15.00,Cause I'm all messed up,Angry
38,[02:16.77,Making prefect nonsense,Angry
39,[02:19.53,Drowning in my doubt too well,Angry
40,[02:22.36,Cause I'm all messed up,Angry
41,[02:24.51,Going nowhere fast but circles in my mind,Angry
42,[02:28.35,So blind,Angry
0,[00:09.70,Decaying’ ever faster.,Angry
1,[00:12.50,Under wear all the imminent disaster,Angry
2,[00:15.24,Open up your eyes.,Angry
3,[00:17.11,As you ruminate the hopeless ends of time.,Angry
4,[00:22.67,Did you wander out your days lost and resigned?,Angry
5,[00:28.00,Or recreate the universes in your mind?,Angry
6,[00:38.04,Everybody is a bastard,Angry
7,[00:40.70,"The world is, like plaster.",Angry
8,[00:43.38,"Crumblin’ apart from pressure of the blaster, waiting for a sign.[00:48.32",Angry
9,[00:54.07,As the wistful boy runs out of things to learn.,Angry
10,[00:59.30,The episodes of your are never to return.,Angry
11,[01:05.98,"Scare up some hope,",Angry
12,[01:08.49,"You’re gonna need it just to cope,",Angry
13,[01:10.92,"You are the decision, numbers don’t rely.",Angry
14,[01:17.75,"When you bite the dust,",Angry
15,[01:19.63,"Wasn’t the purpose all for trust,",Angry
16,[01:22.55,"You’ll never relive it,",Angry
17,[01:24.93,Think before you die.,Angry
18,[01:28.57,"Yeah, think, think before you die.",Angry
19,[01:34.08,,Angry
20,[01:46.69,"Deficit and depravation,",Angry
21,[01:49.47,In the wake of desperation.,Angry
